date,start_date,end_date,brand,interview_mode,sample_size,primary_vote_lnp,primary_vote_alp,primary_vote_grn,primary_vote_onp,primary_vote_top,primary_vote_oth,primary_vote_und,twopp_vote_alp,twopp_vote_lnp,primary_vote_uap
1–5 May 2024,2024-05-01,2024-05-05,Essential,Online,1150,0.34,0.31,0.13,0.07,,0.07,0.07,0.46,0.47,0.01
29 Apr – 5 May 2024,2024-04-29,2024-05-05,Roy Morgan,Online,1666,0.37,0.3,0.13,0.06,,0.14,0,0.52,0.48,0
22–28 Apr 2024,2024-04-22,2024-04-28,Roy Morgan,Online,1719,0.365,0.315,0.14,0.055,,0.125,0,0.52,0.48,0
19–23 Apr 2024,2024-04-19,2024-04-23,YouGov,Online,1514,0.36,0.33,0.13,0.08,,0.1,0,0.52,0.48,0
17–21 Apr 2024,2024-04-17,2024-04-21,Essential,Online,1145,0.35,0.31,0.11,0.09,,0.09,0.04,0.47,0.49,0.01
17–21 Apr 2024,2024-04-17,2024-04-21,Resolve Strategic,Online,1610,0.36,0.3,0.13,0.05,,0.14,0,0.5,0.5,0.02
15–21 Apr 2024,2024-04-15,2024-04-21,Roy Morgan,Online,1617,0.355,0.305,0.16,0.055,,0.125,0,0.52,0.48,0
12–21 Apr 2024,2024-04-12,2024-04-21,RedBridge Group,Online,1529,0.37,0.33,0.12,0.07,,0.11,0,0.52,0.48,0
15–18 Apr 2024,2024-04-15,2024-04-18,Newspoll,Online,1236,0.38,0.33,0.12,0.07,,0.1,0,0.51,0.49,0
12–14 Apr 2024,2024-04-12,2024-04-14,Freshwater Strategy,Online,1055,0.4,0.31,0.13,0,,0.16,0,0.5,0.5,0
8–14 Apr 2024,2024-04-08,2024-04-14,Roy Morgan,Online,1706,0.385,0.3,0.135,0.055,,0.125,0,0.49,0.51,0
3–7 Apr 2024,2024-04-03,2024-04-07,Essential,Online,1165,0.34,0.29,0.14,0.06,,0.08,0.06,0.48,0.46,0.02
1–7 Apr 2024,2024-04-01,2024-04-07,Roy Morgan,Online,1731,0.38,0.295,0.135,0.06,,0.13,0,0.495,0.505,0
25–31 Mar 2024,2024-03-25,2024-03-31,Roy Morgan,Online,1677,0.375,0.3,0.155,0.035,,0.135,0,0.51,0.49,0
22–27 Mar 2024,2024-03-22,2024-03-27,YouGov,Online,1513,0.38,0.32,0.13,0.07,,0.1,0,0.51,0.49,0
21–24 Mar 2024,2024-03-21,2024-03-24,Resolve Strategic,Online,1610,0.35,0.32,0.13,0.05,,0.13,0,0.53,0.47,0.02
20–24 Mar 2024,2024-03-20,2024-03-24,Essential,Online,1150,0.36,0.29,0.11,0.07,,0.07,0.06,0.44,0.5,0.03
18–24 Mar 2024,2024-03-18,2024-03-24,Roy Morgan,Online,1633,0.38,0.315,0.14,0.045,,0.12,0,0.5,0.5,0
18–22 Mar 2024,2024-03-18,2024-03-22,Newspoll,Online,1223,0.37,0.32,0.13,0.07,,0.11,0,0.51,0.49,0
11–17 Mar 2024,2024-03-11,2024-03-17,Roy Morgan,Online,1710,0.37,0.315,0.125,0.055,,0.135,0,0.515,0.485,0
8–10 Mar 2024,2024-03-08,2024-03-10,Freshwater Strategy,Online,1051,0.39,0.31,0.14,0,,0.16,0,0.51,0.49,0
4–10 Mar 2024,2024-03-04,2024-03-10,Roy Morgan,Online,1714,0.38,0.32,0.13,0.04,,0.13,0,0.515,0.485,0
5–9 Mar 2024,2024-03-05,2024-03-09,Essential,Online,1126,0.35,0.32,0.11,0.08,,0.08,0.05,0.48,0.47,0.02
24 Feb – 5 Mar 2024,2024-02-24,2024-03-05,YouGov,Online,1539,0.37,0.32,0.15,0.06,,0.1,0,0.52,0.48,0
26 Feb – 3 Mar 2024,2024-02-26,2024-03-03,Roy Morgan,Online,1679,0.365,0.34,0.135,0.035,,0.125,0,0.535,0.465,0
21–25 Feb 2024,2024-02-21,2024-02-25,Essential,Online,1145,0.35,0.3,0.13,0.07,,0.08,0.04,0.47,0.48,0.02
19–25 Feb 2024,2024-02-19,2024-02-25,Roy Morgan,Online,1682,0.38,0.315,0.12,0.05,,0.135,0,0.5,0.5,0
21–24 Feb 2024,2024-02-21,2024-02-24,Resolve Strategic,Online,1603,0.37,0.34,0.11,0.06,,0.13,0,0.52,0.48,0.01
19–23 Feb 2024,2024-02-19,2024-02-23,Newspoll,Online,1245,0.36,0.33,0.12,0.06,,0.13,0,0.52,0.48,0
16–18 Feb 2024,2024-02-16,2024-02-18,Freshwater Strategy,Online,1049,0.38,0.31,0.14,0,,0.17,0,0.51,0.49,0
12–18 Feb 2024,2024-02-12,2024-02-18,Roy Morgan,Online,1706,0.37,0.34,0.13,0.04,,0.12,0,0.525,0.475,0
7–11 Feb 2024,2024-02-07,2024-02-11,Essential,Online,1148,0.34,0.31,0.14,0.07,,0.09,0.05,0.5,0.46,0.01
5–11 Feb 2024,2024-02-05,2024-02-11,Roy Morgan,Online,1699,0.37,0.345,0.12,0.045,,0.12,0,0.52,0.48,0
2–7 Feb 2024,2024-02-02,2024-02-07,YouGov,Online,1502,0.36,0.32,0.14,0.08,,0.1,0,0.52,0.48,0
30 Jan – 7 Feb 2024,2024-01-30,2024-02-07,RedBridge Group,Online,2040,0.38,0.33,0.13,0,,0.16,0,0.512,0.488,0
29 Jan – 4 Feb 2024,2024-01-29,2024-02-04,Roy Morgan,Online,1709,0.37,0.33,0.12,0.05,,0.13,0,0.53,0.47,0
31 Jan – 3 Feb 2024,2024-01-31,2024-02-03,Newspoll,Online,1245,0.36,0.34,0.12,0.07,,0.11,0,0.52,0.48,0
24–28 Jan 2024,2024-01-24,2024-01-28,Essential,Online,1201,0.34,0.32,0.13,0.07,,0.07,0.05,0.48,0.46,0.02
22–28 Jan 2024,2024-01-22,2024-01-28,Roy Morgan,Online,1688,0.375,0.31,0.13,0.055,,0.13,0,0.505,0.495,0
15–21 Jan 2024,2024-01-15,2024-01-21,Roy Morgan,Online,1675,0.36,0.325,0.125,0.05,,0.14,0,0.525,0.475,0
12–17 Jan 2024,2024-01-12,2024-01-17,YouGov,Online,1532,0.37,0.32,0.13,0.07,,0.11,0,0.52,0.48,0
8–14 Jan 2024,2024-01-08,2024-01-14,Roy Morgan,Online,1727,0.37,0.315,0.12,0.045,,0.15,0,0.515,0.485,0
10–11 Jan 2024,2024-01-10,2024-01-11,Freshwater Strategy,Online,1007,0.39,0.31,0.13,0,,0.16,0,0.5,0.5,0
2–7 Jan 2024,2024-01-02,2024-01-07,Roy Morgan,Online,1716,0.39,0.29,0.13,0.05,,0.14,0,0.49,0.51,0
15–17 Dec 2023,2023-12-15,2023-12-17,Freshwater Strategy,Online,1109,0.39,0.31,0.13,0,,0.16,0,0.5,0.5,0
11–17 Dec 2023,2023-12-11,2023-12-17,Roy Morgan,Online,1109,0.38,0.32,0.115,0.045,,0.14,0,0.5,0.5,0
11–15 Dec 2023,2023-12-11,2023-12-15,Newspoll,Online,1219,0.36,0.33,0.13,0.07,,0.11,0,0.52,0.48,0
6–11 Dec 2023,2023-12-06,2023-12-11,Essential,Online,1102,0.34,0.31,0.13,0.06,,0.09,0.05,0.49,0.46,0.02
6–11 Dec 2023,2023-12-06,2023-12-11,RedBridge Group,Online,2010,0.35,0.33,0.13,0,,0.19,0,0.528,0.472,0
1–5 Dec 2023,2023-12-01,2023-12-05,YouGov,Online,1555,0.36,0.29,0.15,0.07,,0.13,0,0.51,0.49,0
29 Nov – 3 Dec 2023,2023-11-29,2023-12-03,Resolve Strategic,Online,1605,0.34,0.35,0.12,0.05,,0.12,0,0.55,0.45,0.01
27 Nov – 3 Dec 2023,2023-11-27,2023-12-03,Roy Morgan,,1730,0.375,0.325,0.125,0.05,,0.125,0,0.51,0.49,0
22–26 Nov 2023,2023-11-22,2023-11-26,Essential,Online,1151,0.34,0.31,0.13,0.07,,0.08,0.06,0.48,0.47,0.01
20–26 Nov 2023,2023-11-20,2023-11-26,Roy Morgan,,1379,0.35,0.32,0.135,0.05,,0.145,0,0.525,0.475,0
20–24 Nov 2023,2023-11-20,2023-11-24,Newspoll,Online,1216,0.38,0.31,0.13,0.06,,0.12,0,0.5,0.5,0
13–19 Nov 2023,2023-11-13,2023-11-19,Roy Morgan,,1401,0.375,0.295,0.135,0.065,,0.13,0,0.495,0.505,0
10–14 Nov 2023,2023-11-10,2023-11-14,YouGov,Online,1582,0.36,0.31,0.13,0.07,,0.13,0,0.51,0.49,0
8–12 Nov 2023,2023-11-08,2023-11-12,Essential,Online,1150,0.34,0.32,0.12,0.07,,0.08,0.05,0.49,0.47,0.02
6–12 Nov 2023,2023-11-06,2023-11-12,Roy Morgan,,1397,0.365,0.3,0.13,0.06,,0.145,0,0.5,0.5,0
1–5 Nov 2023,2023-11-01,2023-11-05,Resolve Strategic,Online,1602,0.3,0.35,0.13,0.07,,0.13,0,0.57,0.43,0.02
30 Oct – 3 Nov 2023,2023-10-30,2023-11-03,Newspoll,Online,1220,0.37,0.35,0.12,0.06,,0.1,0,0.52,0.48,0
27 Oct – 2 Nov 2023,2023-10-27,2023-11-02,RedBridge Group,Online,1205,0.35,0.34,0.14,0,,0.17,0,0.535,0.465,0
25–29 Oct 2023,2023-10-25,2023-10-29,Essential,Online,1149,0.34,0.32,0.1,0.07,,0.09,0.06,0.48,0.46,0.03
23–29 Oct 2023,2023-10-23,2023-10-29,Roy Morgan,,1375,0.35,0.325,0.15,0,,0.175,0,0.53,0.47,0
16–22 Oct 2023,2023-10-16,2023-10-22,Roy Morgan,,1383,0.36,0.32,0.14,0.045,,0.135,0,0.495,0.505,0
4–12 Oct 2023,2023-10-04,2023-10-12,Newspoll,Online,2638,0.35,0.36,0.12,0.06,,0.11,0,0.54,0.46,0
6–10 Oct 2023,2023-10-06,2023-10-10,YouGov,Online,1519,0.36,0.33,0.14,0.06,,0.11,0,0.53,0.47,0
3–6 Oct 2023,2023-10-03,2023-10-06,Newspoll,Online,1225,0.36,0.34,0.12,0.05,,0.13,0,0.53,0.47,0
22 Sep – 4 Oct 2023,2023-09-22,2023-10-04,Resolve Strategic,Online,4728,0.31,0.37,0.12,0.07,,0.11,0,0.57,0.43,0.02
27 Sept – 1 Oct 2023,2023-09-27,2023-10-01,Essential,Online,1125,0.32,0.33,0.14,0.06,,0.07,0.05,0.5,0.45,0.02
25–29 Sep 2023,2023-09-25,2023-09-29,YouGov,Online,1563,0.35,0.33,0.13,0,,0.19,0,0.53,0.47,0
22–24 Sep 2023,2023-09-22,2023-09-24,Freshwater Strategy,Online,1003,0.37,0.33,0.13,0,,0.17,0,0.51,0.49,0
18–22 Sep 2023,2023-09-18,2023-09-22,Newspoll,Online,1239,0.36,0.36,0.11,0.06,,0.11,0,0.54,0.46,0
13–17 Sep 2023,2023-09-13,2023-09-17,Essential,Online,1135,0.32,0.31,0.13,0.08,,0.08,0.06,0.49,0.45,0.02
4–10 Sep 2023,2023-09-04,2023-09-10,Roy Morgan,,1382,0.37,0.32,0.135,0,,0.175,0,0.525,0.475,0
6–9 Sep 2023,2023-09-06,2023-09-09,Resolve Strategic,Online,1604,0.34,0.36,0.12,0.05,,0.11,0,0.555,0.445,0.02
30 Aug – 4 Sep 2023,2023-08-30,2023-09-04,RedBridge Group,Online,1001,0.36,0.37,0.13,0,,0.14,0,0.541,0.459,0
30 Aug – 3 Sep 2023,2023-08-30,2023-09-03,Essential,Online,1151,0.32,0.31,0.15,0.07,,0.07,0.06,0.51,0.43,0.02
28 Aug – 3 Sep 2023,2023-08-28,2023-09-03,Roy Morgan,,1404,0.375,0.335,0.13,0,,0.16,0,0.53,0.47,0
28 Aug– 1 Sep 2023,2023-08-28,2023-09-01,Newspoll,Online,1200,0.37,0.35,0.13,0.07,,0.08,0,0.53,0.47,0
16–20 Aug 2023,2023-08-16,2023-08-20,Essential,Online,1151,0.33,0.33,0.14,0.05,,0.07,0.06,0.51,0.43,0.03
10–14 Aug 2023,2023-08-10,2023-08-14,RedBridge Group,Online,1010,0.32,0.38,0.1,0,,0.21,0,0.556,0.444,0
9–13 Aug 2023,2023-08-09,2023-08-13,Resolve Strategic,Online,1603,0.33,0.37,0.11,0.05,,0.12,0,0.56,0.44,0.02
2–6 Aug 2023,2023-08-02,2023-08-06,Essential,Online,1150,0.3,0.33,0.12,0.08,,0.08,0.06,0.52,0.42,0.02
19–23 Jul 2023,2023-07-19,2023-07-23,Essential,Online,1150,0.32,0.31,0.14,0.07,,0.09,0.06,0.5,0.45,0.01
12–15 Jul 2023,2023-07-12,2023-07-15,Resolve Strategic,Online,1610,0.3,0.39,0.11,0.06,,0.11,0,0.59,0.41,0.01
12–15 Jul 2023,2023-07-12,2023-07-15,Newspoll,Online,1570,0.34,0.36,0.12,0.07,,0.11,0,0.55,0.45,0
5–9 Jul 2023,2023-07-05,2023-07-09,Essential,Online,2248,0.32,0.32,0.14,0.08,,0.08,0.05,0.51,0.44,0.01
21–25 Jun 2023,2023-06-21,2023-06-25,Essential,Online,1148,0.3,0.32,0.14,0.07,,0.11,0.06,0.52,0.42,0.02
16–24 Jun 2023,2023-06-16,2023-06-24,Newspoll,Online,2303,0.35,0.38,0.11,0.06,,0.1,0,0.54,0.46,0
7–11 Jun 2023,2023-06-07,2023-06-11,Essential,Online,1123,0.32,0.32,0.16,0.05,,0.09,0.05,0.52,0.42,0.01
6–11 Jun 2023,2023-06-06,2023-06-11,Resolve Strategic,Online,1606,0.3,0.4,0.12,0.06,,0.1,0,0.6,0.4,0.02
31 May – 3 Jun 2023,2023-05-31,2023-06-03,Newspoll,Online,1549,0.34,0.38,0.12,0.06,,0.1,0,0.55,0.45,0
24–28 May 2023,2023-05-24,2023-05-28,Essential,Online,1138,0.31,0.34,0.15,0.06,,0.07,0.05,0.52,0.43,0.02
15–17 May 2023,2023-05-15,2023-05-17,Freshwater Strategy,Online,1005,0.37,0.34,0.12,0,,0.17,0,0.52,0.48,0
10–14 May 2023,2023-05-10,2023-05-14,Essential,Online,1080,0.31,0.35,0.14,0.05,,0.08,0.05,0.53,0.42,0.01
11–13 May 2023,2023-05-11,2023-05-13,Newspoll,Online,1516,0.34,0.38,0.11,0.07,,0.1,0,0.55,0.45,0
10–13 May 2023,2023-05-10,2023-05-13,Resolve Strategic,Online,1610,0.3,0.42,0.12,0.05,,0.08,0.02,0.61,0.39,0.02
26–30 Apr 2023,2023-04-26,2023-04-30,Essential,Online,1130,0.32,0.33,0.14,0.05,,0.08,0.05,0.53,0.41,0.02
19–22 Apr 2023,2023-04-19,2023-04-22,Newspoll,Online,1514,0.33,0.38,0.11,0.07,,0.11,0,0.56,0.44,0
12–16 Apr 2023,2023-04-12,2023-04-16,Essential,Online,1136,0.31,0.34,0.14,0.06,,0.09,0.04,0.52,0.43,0.03
12–16 Apr 2023,2023-04-12,2023-04-16,Resolve Strategic,Online,1609,0.28,0.42,0.12,0.06,,0.11,0,0.615,0.385,0.01
29 Mar – 2 Apr 2023,2023-03-29,2023-04-02,Essential,Online,1133,0.3,0.33,0.14,0.06,,0.1,0.05,0.53,0.42,0.02
29 Mar – 1 Apr 2023,2023-03-29,2023-04-01,Newspoll,Online,1500,0.33,0.38,0.1,0.08,,0.11,0,0.55,0.45,0
15–20 Mar 2023,2023-03-15,2023-03-20,Essential,Online,1124,0.31,0.34,0.14,0.05,,0.09,0.05,0.52,0.43,0.02
12–16 Mar 2023,2023-03-12,2023-03-16,Resolve Strategic,Online,1600,0.3,0.39,0.13,0.05,,0.11,0,0.6,0.4,0.01
1–5 Mar 2023,2023-03-01,2023-03-05,Essential,Online,1141,0.32,0.32,0.12,0.07,,0.1,0.07,0.49,0.44,0.02
27 Feb – 5 Mar 2023,2023-02-27,2023-03-05,Roy Morgan,,0,0.335,0.38,0.115,0,,0.17,0,0.545,0.455,0
1–4 Mar 2023,2023-03-01,2023-03-04,Newspoll,Online,1530,0.35,0.37,0.1,0.07,,0.11,0,0.54,0.46,0
20–26 Feb 2023,2023-02-20,2023-02-26,Roy Morgan,,0,0.345,0.37,0.135,0,,0.15,0,0.565,0.435,0
15–19 Feb 2023,2023-02-15,2023-02-19,Essential,Online,1044,0.3,0.33,0.14,0.06,,0.08,0.08,0.51,0.42,0.03
15–19 Feb 2023,2023-02-15,2023-02-19,Resolve Strategic,Online,1604,0.31,0.4,0.1,0.05,,0.11,0,0.58,0.42,0.01
13–19 Feb 2023,2023-02-13,2023-02-19,Roy Morgan,Online/ Telephone,0,0.33,0.37,0.13,0,,0.17,0,0.585,0.415,0
1–6 Feb 2023,2023-02-01,2023-02-06,Essential,Online,1000,0.3,0.33,0.17,0.06,,0.15,0.05,0.55,0.4,0.01
1–4 Feb 2023,2023-02-01,2023-02-04,Newspoll,Online,1512,0.34,0.38,0.11,0.06,,0.1,0,0.55,0.45,0.01
23–29 Jan 2023,2023-01-23,2023-01-29,Roy Morgan,,0,0.335,0.375,0.115,0,,0.175,0,0.57,0.43,0
18–22 Jan 2023,2023-01-18,2023-01-22,Essential,Online,1050,0.31,0.34,0.14,0.08,,0.07,0.05,0.53,0.42,0.01
17–22 Jan 2023,2023-01-17,2023-01-22,Resolve Strategic,Online,1606,0.29,0.42,0.11,0.06,,0.11,0,0.6,0.4,0.02
16–18 Dec 2022,2022-12-16,2022-12-18,Freshwater Strategy,Online,1209,0.37,0.37,0.12,0.04,,0.09,0,0.54,0.46,0.01
7–11 Dec 2022,2022-12-07,2022-12-11,Essential,Online,1042,0.3,0.35,0.13,0.06,,0.08,0.05,0.51,0.44,0.03
30 Nov – 4 Dec 2022,2022-11-30,2022-12-04,Resolve Strategic,Online,1611,0.3,0.42,0.11,0.04,,0.08,0,0.6,0.4,0.02
30 Nov – 3 Dec 2022,2022-11-30,2022-12-03,Newspoll,Online,1508,0.35,0.39,0.11,0.06,,0.09,0,0.55,0.45,0.01
23–27 Nov 2022,2022-11-23,2022-11-27,Essential,Online,1042,0.31,0.33,0.13,0,,0.17,0.06,0.51,0.43,0
27–30 Oct 2022,2022-10-27,2022-10-30,Newspoll-YouGov,Online,1500,0.35,0.38,0.11,0.06,,0.09,0,0.55,0.45,0.01
26–30 Oct 2022,2022-10-26,2022-10-30,Resolve Strategic,Online,1611,0.32,0.39,0.13,0.04,,0.11,0,0.58,0.42,0.01
5–9 Oct 2022,2022-10-05,2022-10-09,Resolve Strategic,Online,1604,0.3,0.39,0.12,0.05,,0.11,0,0.585,0.415,0.03
14–18 Sep 2022,2022-09-14,2022-09-18,Resolve Strategic,Online,1607,0.32,0.39,0.1,0.06,,0.11,0,0.565,0.435,0.02
31 Aug – 3 Sep 2022,2022-08-31,2022-09-03,Newspoll-YouGov,Online,1505,0.31,0.37,0.135,0.07,,0.1,0,0.57,0.43,0.02
17–21 Aug 2022,2022-08-17,2022-08-21,Resolve Strategic,Online,2011,0.28,0.42,0.12,0.05,,0.11,0,0.61,0.39,0.02
27–30 Jul 2022,2022-07-27,2022-07-30,Newspoll-YouGov,Online,1508,0.33,0.37,0.12,0.06,,0.1,0,0.56,0.44,0.02
14–17 Jun 2022,2022-06-14,2022-06-17,Dynata,Online,1001,0.31,0.34,0.12,0.04,,0.07,0.09,0.522,0.478,0.04
13–19 Jun 2022,2022-06-13,2022-06-19,Roy Morgan,Online/ telephone,1401,0.37,0.36,0.11,0.04,,0.115,0,0.53,0.47,0.005
21-May-22,2022-05-21,2022-05-21,Election,Election,0,0.357,0.326,0.122,0.05,,0.104,0,0.521,0.479,0.041
